benchmark,architecture,memory_mb,timeout_sec,idle_gap_sec,invocations,failed_invocations,success_rate,cold_probability,successful_invocations,mean_client_latency_ms,p50_latency_ms,p95_latency_ms,profile_source,warm_mean_client_latency_ms,warm_p95_latency_ms,estimated_cold_overhead_ms,estimated_p95_cold_overhead_ms
110.dynamic-html,arm64,128,60,-1,1,0,1.0,1.0,1,498.327,498.327,498.327,measured,29.216,31.147,469.111,467.18
110.dynamic-html,arm64,128,60,0,1,0,1.0,1.0,1,611.992,611.992,611.992,warmup_only,29.216,31.147,582.776,580.8449999999999
110.dynamic-html,arm64,128,120,-1,1,0,1.0,1.0,1,486.203,486.203,486.203,measured,29.093333333333334,29.7809,457.1096666666666,456.4221
110.dynamic-html,arm64,128,120,0,1,0,1.0,1.0,1,585.185,585.185,585.185,warmup_only,29.093333333333334,29.7809,556.0916666666666,555.4041
110.dynamic-html,arm64,128,300,-1,1,0,1.0,1.0,1,494.376,494.376,494.376,measured,28.284666666666663,28.4482,466.0913333333333,465.9278
110.dynamic-html,arm64,128,300,0,1,0,1.0,1.0,1,593.863,593.863,593.863,warmup_only,28.284666666666663,28.4482,565.5783333333334,565.4148
110.dynamic-html,arm64,128,900,-1,1,0,1.0,1.0,1,495.99,495.99,495.99,measured,26.658,28.2436,469.332,467.7464
110.dynamic-html,arm64,128,900,0,1,0,1.0,1.0,1,619.796,619.796,619.796,warmup_only,26.658,28.2436,593.138,591.5524
110.dynamic-html,arm64,256,60,-1,1,0,1.0,1.0,1,481.262,481.262,481.262,measured,27.899666666666665,28.8427,453.3623333333333,452.4193
110.dynamic-html,arm64,256,60,0,1,0,1.0,1.0,1,468.345,468.345,468.345,warmup_only,27.899666666666665,28.8427,440.44533333333334,439.50230000000005
110.dynamic-html,arm64,256,120,-1,1,0,1.0,1.0,1,499.653,499.653,499.653,measured,28.3,28.7735,471.353,470.8795
110.dynamic-html,arm64,256,120,0,1,0,1.0,1.0,1,500.028,500.028,500.028,warmup_only,28.3,28.7735,471.728,471.2545
110.dynamic-html,arm64,256,300,-1,1,0,1.0,1.0,1,498.909,498.909,498.909,measured,28.454666666666668,28.9981,470.45433333333335,469.91089999999997
110.dynamic-html,arm64,256,300,0,1,0,1.0,1.0,1,510.241,510.241,510.241,warmup_only,28.454666666666668,28.9981,481.78633333333335,481.24289999999996
110.dynamic-html,arm64,256,900,-1,1,0,1.0,1.0,1,513.31,513.31,513.31,measured,27.997,28.1459,485.31299999999993,485.16409999999996
110.dynamic-html,arm64,256,900,0,1,0,1.0,1.0,1,515.174,515.174,515.174,warmup_only,27.997,28.1459,487.17699999999996,487.0281
110.dynamic-html,arm64,512,60,-1,1,0,1.0,1.0,1,623.358,623.358,623.358,measured,27.895,28.3957,595.463,594.9622999999999
110.dynamic-html,arm64,512,60,0,1,0,1.0,1.0,1,663.857,663.857,663.857,warmup_only,27.895,28.3957,635.962,635.4612999999999
110.dynamic-html,arm64,512,120,-1,1,0,1.0,1.0,1,478.934,478.934,478.934,measured,35.962,37.0172,442.97200000000004,441.9168
110.dynamic-html,arm64,512,120,0,1,0,1.0,1.0,1,487.746,487.746,487.746,warmup_only,35.962,37.0172,451.784,450.7288
110.dynamic-html,arm64,512,300,-1,1,0,1.0,1.0,1,522.95,522.95,522.95,measured,33.131,33.522600000000004,489.8190000000001,489.42740000000003
110.dynamic-html,arm64,512,300,0,1,0,1.0,1.0,1,509.594,509.594,509.594,warmup_only,33.131,33.522600000000004,476.46299999999997,476.0714
110.dynamic-html,arm64,512,900,-1,1,0,1.0,1.0,1,524.451,524.451,524.451,measured,27.894,28.4277,496.557,496.0233
110.dynamic-html,arm64,512,900,0,1,0,1.0,1.0,1,514.643,514.643,514.643,warmup_only,27.894,28.4277,486.749,486.2153
110.dynamic-html,arm64,1024,60,-1,1,0,1.0,1.0,1,480.014,480.014,480.014,measured,27.82933333333333,29.0482,452.18466666666666,450.9658
110.dynamic-html,arm64,1024,60,0,1,0,1.0,1.0,1,547.593,547.593,547.593,warmup_only,27.82933333333333,29.0482,519.7636666666666,518.5448
110.dynamic-html,arm64,1024,120,-1,1,0,1.0,1.0,1,496.491,496.491,496.491,measured,34.82933333333333,35.9497,461.66166666666663,460.5413
110.dynamic-html,arm64,1024,120,0,1,0,1.0,1.0,1,552.888,552.888,552.888,warmup_only,34.82933333333333,35.9497,518.0586666666667,516.9383
110.dynamic-html,arm64,1024,300,-1,1,0,1.0,1.0,1,483.56,483.56,483.56,measured,34.156666666666666,34.708800000000004,449.4033333333333,448.8512
110.dynamic-html,arm64,1024,300,0,1,0,1.0,1.0,1,515.206,515.206,515.206,warmup_only,34.156666666666666,34.708800000000004,481.0493333333334,480.4972
110.dynamic-html,arm64,1024,900,-1,1,0,1.0,1.0,1,501.917,501.917,501.917,measured,28.58933333333333,29.2175,473.32766666666663,472.69949999999994
110.dynamic-html,arm64,1024,900,0,1,0,1.0,1.0,1,511.892,511.892,511.892,warmup_only,28.58933333333333,29.2175,483.30266666666665,482.67449999999997
110.dynamic-html,arm64,2048,60,-1,1,0,1.0,1.0,1,503.345,503.345,503.345,measured,28.838666666666665,30.08,474.5063333333334,473.26500000000004
110.dynamic-html,arm64,2048,60,0,1,0,1.0,1.0,1,528.02,528.02,528.02,warmup_only,28.838666666666665,30.08,499.1813333333333,497.94
110.dynamic-html,arm64,2048,120,-1,1,0,1.0,1.0,1,499.688,499.688,499.688,measured,34.173,34.4409,465.515,465.2471
110.dynamic-html,arm64,2048,120,0,1,0,1.0,1.0,1,1590.719,1590.719,1590.719,warmup_only,34.173,34.4409,1556.546,1556.2781
110.dynamic-html,arm64,2048,300,-1,1,0,1.0,1.0,1,529.682,529.682,529.682,measured,34.36066666666667,34.8191,495.32133333333337,494.8629
110.dynamic-html,arm64,2048,300,0,1,0,1.0,1.0,1,515.809,515.809,515.809,warmup_only,34.36066666666667,34.8191,481.4483333333333,480.9899
110.dynamic-html,arm64,2048,900,-1,1,0,1.0,1.0,1,596.094,596.094,596.094,measured,29.05966666666667,30.0627,567.0343333333334,566.0313000000001
110.dynamic-html,arm64,2048,900,0,1,0,1.0,1.0,1,494.882,494.882,494.882,warmup_only,29.05966666666667,30.0627,465.82233333333335,464.8193
110.dynamic-html,arm64,3008,60,-1,1,0,1.0,1.0,1,567.357,567.357,567.357,measured,28.520666666666667,29.3225,538.8363333333333,538.0345
110.dynamic-html,arm64,3008,60,0,1,0,1.0,1.0,1,1858.747,1858.747,1858.747,warmup_only,28.520666666666667,29.3225,1830.2263333333335,1829.4245
110.dynamic-html,arm64,3008,120,-1,1,0,1.0,1.0,1,515.51,515.51,515.51,measured,33.922000000000004,34.1297,481.58799999999997,481.3803
110.dynamic-html,arm64,3008,120,0,1,0,1.0,1.0,1,490.619,490.619,490.619,warmup_only,33.922000000000004,34.1297,456.697,456.4893
110.dynamic-html,arm64,3008,300,-1,1,0,1.0,1.0,1,521.64,521.64,521.64,measured,33.43933333333333,33.901599999999995,488.2006666666667,487.7384
110.dynamic-html,arm64,3008,300,0,1,0,1.0,1.0,1,506.905,506.905,506.905,warmup_only,33.43933333333333,33.901599999999995,473.46566666666666,473.0034
110.dynamic-html,arm64,3008,900,-1,1,0,1.0,1.0,1,516.438,516.438,516.438,measured,28.774666666666665,29.5305,487.6633333333333,486.90749999999997
110.dynamic-html,arm64,3008,900,0,1,0,1.0,1.0,1,492.17,492.17,492.17,warmup_only,28.774666666666665,29.5305,463.3953333333333,462.6395
120.uploader,arm64,128,60,-1,1,0,1.0,1.0,1,2634.479,2634.479,2634.479,measured,1655.2993333333334,3371.6729,979.1796666666664,-737.1939000000002
120.uploader,arm64,128,60,0,1,0,1.0,1.0,1,17226.279,17226.279,17226.279,warmup_only,1655.2993333333334,3371.6729,15570.979666666666,13854.606099999999
120.uploader,arm64,128,120,-1,1,0,1.0,1.0,1,1273.925,1273.925,1273.925,measured,914.9603333333332,1149.9535,358.96466666666674,123.97149999999988
120.uploader,arm64,128,120,0,1,0,1.0,1.0,1,1536.414,1536.414,1536.414,warmup_only,914.9603333333332,1149.9535,621.4536666666668,386.4604999999999
120.uploader,arm64,128,300,-1,1,0,1.0,1.0,1,4049.065,4049.065,4049.065,measured,583.9963333333334,721.2966,3465.0686666666666,3327.7684
120.uploader,arm64,128,300,0,1,0,1.0,1.0,1,1249.91,1249.91,1249.91,warmup_only,583.9963333333334,721.2966,665.9136666666667,528.6134000000001
120.uploader,arm64,128,900,-1,1,0,1.0,1.0,1,1263.532,1263.532,1263.532,measured,945.163,1369.7085,318.3689999999999,-106.17650000000003
120.uploader,arm64,128,900,0,1,0,1.0,1.0,1,1643.21,1643.21,1643.21,warmup_only,945.163,1369.7085,698.047,273.5015000000001
