benchmark,architecture,memory_mb,timeout_sec,invocations,failed_invocations,success_rate,cold_rate,successful_invocations,mean_client_latency_ms,mean_benchmark_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,profile_source
110.dynamic-html,arm64,128,60,3,0,1.0,0.0,3,29.215999999999998,1.0293333333333334,29.059,31.147000000000002,31.332600000000003,measured
110.dynamic-html,arm64,128,120,3,0,1.0,0.0,3,29.093333333333334,1.064,28.808,29.7809,29.86738,measured
110.dynamic-html,arm64,128,300,3,0,1.0,0.0,3,28.284666666666666,1.047,28.414,28.4482,28.451240000000002,measured
110.dynamic-html,arm64,128,900,3,0,1.0,0.0,3,26.658,0.993,26.449,28.2436,28.40312,measured
110.dynamic-html,arm64,256,60,3,0,1.0,0.0,3,27.899666666666665,1.013,28.786,28.8427,28.84774,measured
110.dynamic-html,arm64,256,120,3,0,1.0,0.0,3,28.3,1.0103333333333333,28.049,28.7735,28.837899999999998,measured
110.dynamic-html,arm64,256,300,3,0,1.0,0.0,3,28.454666666666668,0.9896666666666666,28.639,28.9981,29.03002,measured
110.dynamic-html,arm64,256,900,3,0,1.0,0.0,3,27.997,1.003,27.983,28.1459,28.16038,measured
110.dynamic-html,arm64,512,60,3,0,1.0,0.0,3,27.895,0.987,27.673,28.395699999999998,28.45994,measured
110.dynamic-html,arm64,512,120,3,0,1.0,0.0,3,35.961999999999996,1.1033333333333333,36.704,37.0172,37.04504,measured
110.dynamic-html,arm64,512,300,3,0,1.0,0.0,3,33.131,1.0353333333333332,33.159,33.522600000000004,33.55492,measured
110.dynamic-html,arm64,512,900,3,0,1.0,0.0,3,27.894000000000002,0.9889999999999999,28.362,28.427699999999998,28.433539999999997,measured
110.dynamic-html,arm64,1024,60,3,0,1.0,0.0,3,27.829333333333334,1.0506666666666666,28.618,29.0482,29.08644,measured
110.dynamic-html,arm64,1024,120,3,0,1.0,0.0,3,34.82933333333333,1.1526666666666667,35.893,35.9497,35.95474,measured
110.dynamic-html,arm64,1024,300,3,0,1.0,0.0,3,34.156666666666666,1.1593333333333333,34.239,34.708800000000004,34.75056,measured
110.dynamic-html,arm64,1024,900,3,0,1.0,0.0,3,28.589333333333332,1.0173333333333334,28.277,29.217499999999998,29.301099999999998,measured
110.dynamic-html,arm64,2048,60,3,0,1.0,0.0,3,28.838666666666665,1.0293333333333334,28.208,30.08,30.2464,measured
110.dynamic-html,arm64,2048,120,3,0,1.0,0.0,3,34.173,1.0196666666666667,34.431,34.4409,34.44178,measured
110.dynamic-html,arm64,2048,300,3,0,1.0,0.0,3,34.36066666666667,1.1813333333333333,34.343,34.8191,34.86142,measured
110.dynamic-html,arm64,2048,900,3,0,1.0,0.0,3,29.05966666666667,1.0366666666666666,28.539,30.0627,30.19814,measured
110.dynamic-html,arm64,3008,60,3,0,1.0,0.0,3,28.520666666666667,0.9876666666666667,28.085,29.3225,29.4325,measured
110.dynamic-html,arm64,3008,120,3,0,1.0,0.0,3,33.922000000000004,1.061,33.902,34.1297,34.14994,measured
110.dynamic-html,arm64,3008,300,3,0,1.0,0.0,3,33.43933333333333,1.1016666666666668,33.25,33.901599999999995,33.95952,measured
110.dynamic-html,arm64,3008,900,3,0,1.0,0.0,3,28.774666666666665,1.0966666666666667,28.599,29.5305,29.6133,measured
120.uploader,arm64,128,60,3,0,1.0,0.0,3,1655.2993333333334,1626.7609999999997,724.178,3371.6728999999996,3607.00578,measured
120.uploader,arm64,128,120,3,0,1.0,0.0,3,914.9603333333333,886.2253333333333,885.457,1149.9535,1173.4643,measured
120.uploader,arm64,128,300,3,0,1.0,0.0,3,583.9963333333334,555.6773333333334,669.984,721.2966,725.8577200000001,measured
120.uploader,arm64,128,900,3,0,1.0,0.0,3,945.163,915.181,726.321,1369.7085,1426.8985,measured
120.uploader,arm64,256,60,3,0,1.0,0.0,3,3020.7026666666666,2991.953,1660.361,5474.890399999999,5813.95968,measured
120.uploader,arm64,256,120,3,0,1.0,0.0,3,1766.7476666666664,1737.9896666666666,1672.196,2627.4973999999997,2712.41308,measured
120.uploader,arm64,256,300,3,0,1.0,0.0,3,743.0203333333334,714.1806666666666,665.02,880.1101,899.22922,measured
120.uploader,arm64,256,900,3,0,1.0,0.0,3,1174.9620000000002,1145.8616666666667,688.244,2190.5492,2324.0874400000002,measured
120.uploader,arm64,512,60,3,0,1.0,0.0,3,6945.641666666667,6916.038333333333,2170.482,16419.2559,17685.813580000002,measured
120.uploader,arm64,512,120,3,0,1.0,0.3333333333333333,3,3044.8253333333337,2870.9053333333336,2609.408,4750.5881,4940.91522,measured
120.uploader,arm64,512,300,3,0,1.0,0.0,3,1873.309,1840.924,2206.227,2384.6178,2400.47476,measured
