benchmark,architecture,memory_mb,timeout_sec,concurrency,invocations,failed_invocations,success_rate,rounds,cold_rate,successful_invocations,mean_client_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,profile_source,warm_only_successful_invocations,warm_only_mean_client_latency_ms,warm_only_p50_latency_ms,warm_only_p95_latency_ms,warm_only_p99_latency_ms,warm_mean_client_latency_ms,warm_p50_latency_ms,warm_p95_latency_ms,warm_p99_latency_ms,latency_slowdown_mean,latency_slowdown_p50,latency_slowdown_p95,latency_slowdown_p99
110.dynamic-html,x64,128,60,1,4,0,1.0,4,0.0,4,24.189,21.3415,35.14149999999999,36.56589999999999,measured,4,24.189,21.3415,35.14149999999999,36.56589999999999,39.573,34.949,48.6128,49.82736,0.6112500947615799,0.6106469426879167,0.7228857420267911,0.7338518436457399
110.dynamic-html,x64,128,60,2,10,0,1.0,5,0.0,10,23.2922,25.0575,29.029899999999998,29.33878,measured,10,23.2922,25.0575,29.029899999999998,29.33878,39.573,34.949,48.6128,49.82736,0.5885881788087838,0.7169733039571948,0.5971657670407793,0.5888086384668986
110.dynamic-html,x64,128,60,4,12,0,1.0,3,0.0,12,23.9875,26.113500000000002,29.4257,29.53394,measured,12,23.9875,26.113500000000002,29.4257,29.53394,39.573,34.949,48.6128,49.82736,0.6061582392034973,0.7471887607656872,0.6053076555968798,0.5927253621303638
110.dynamic-html,x64,128,120,1,3,0,1.0,3,0.0,3,27.542333333333335,20.316,42.8088,44.80816,measured,3,27.542333333333335,20.316,42.8088,44.80816,35.84466666666666,38.735,45.7379,46.36038,0.7683802332285604,0.5244868981541242,0.9359590186694184,0.9665183935075597
110.dynamic-html,x64,128,120,2,10,0,1.0,5,0.0,10,21.8358,17.9955,32.02665,32.02773,measured,10,21.8358,17.9955,32.02665,32.02773,35.84466666666666,38.735,45.7379,46.36038,0.6091784923838043,0.464579837356396,0.7002212607050169,0.690842698010672
110.dynamic-html,x64,128,120,4,12,0,1.0,3,0.0,12,20.061666666666667,17.0125,26.92185,27.64917,measured,12,20.061666666666667,17.0125,26.92185,27.64917,35.84466666666666,38.735,45.7379,46.36038,0.5596834489556792,0.43920227184716665,0.5886114141663696,0.5963965351448802
110.dynamic-html,x64,128,300,1,3,0,1.0,3,0.0,3,34.404333333333334,34.075,43.8724,44.74328,measured,3,34.404333333333334,34.075,43.8724,44.74328,26.113666666666663,26.668,33.2677,33.85434,1.317483820732439,1.2777486125693718,1.3187686554826454,1.3216408885832658
110.dynamic-html,x64,128,300,2,10,0,1.0,5,0.0,10,25.9144,30.326500000000003,33.0569,33.09938,measured,10,25.9144,30.326500000000003,33.0569,33.09938,26.113666666666663,26.668,33.2677,33.85434,0.992369257476928,1.1371868906554674,0.9936635234777277,0.9776997572541658
110.dynamic-html,x64,128,300,4,12,0,1.0,3,0.0,12,17.171083333333332,16.5765,20.227349999999998,21.715870000000002,measured,12,17.171083333333332,16.5765,20.227349999999998,21.715870000000002,26.113666666666663,26.668,33.2677,33.85434,0.6575516013326356,0.6215876706164691,0.6080176868253591,0.6414501065446854
110.dynamic-html,x64,128,900,1,3,0,1.0,3,0.0,3,28.582333333333334,21.152,45.076699999999995,47.20334,measured,3,28.582333333333334,21.152,45.076699999999995,47.20334,46.198,42.11,53.2736,54.26592,0.6186920068689843,0.5023034908572785,0.8461357970927438,0.869852386175338
