benchmark,architecture,memory_mb,timeout_sec,invocations,failed_invocations,success_rate,cold_rate,successful_invocations,mean_client_latency_ms,mean_benchmark_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,profile_source
110.dynamic-html,x64,128,60,3,0,1.0,0.0,3,39.573,1.8443333333333332,34.949,48.6128,49.82736,measured
110.dynamic-html,x64,128,120,3,0,1.0,0.0,3,35.84466666666666,1.3523333333333332,38.735,45.737899999999996,46.36038,measured
110.dynamic-html,x64,128,300,3,0,1.0,0.0,3,26.113666666666663,1.2593333333333334,26.668,33.2677,33.85434,measured
110.dynamic-html,x64,128,900,3,0,1.0,0.0,3,46.198,1.882,42.11,53.2736,54.26592,measured
110.dynamic-html,x64,256,60,3,0,1.0,0.0,3,24.407666666666668,1.05,20.996,32.456599999999995,33.475319999999996,measured
110.dynamic-html,x64,256,120,3,0,1.0,0.0,3,16.937,0.7893333333333333,18.346,18.4774,18.48908,measured
110.dynamic-html,x64,256,300,3,0,1.0,0.0,3,25.692333333333334,0.9716666666666667,24.582,30.5895,31.1235,measured
110.dynamic-html,x64,256,900,3,0,1.0,0.0,3,19.915333333333333,0.8176666666666667,18.624,23.4129,23.83858,measured
110.dynamic-html,x64,512,60,3,0,1.0,0.0,3,19.053,0.805,17.556,23.310599999999997,23.822119999999998,measured
110.dynamic-html,x64,512,120,3,0,1.0,0.0,3,17.93766666666667,0.6273333333333334,18.088,18.455199999999998,18.48784,measured
110.dynamic-html,x64,512,300,3,0,1.0,0.0,3,25.231666666666666,0.8380000000000001,24.698,32.1293,32.78986,measured
110.dynamic-html,x64,512,900,3,0,1.0,0.0,3,42.36966666666667,2.1366666666666667,35.267,55.238,57.0132,measured
110.dynamic-html,x64,1024,60,3,0,1.0,0.0,3,17.307333333333332,0.7716666666666666,16.152,20.098499999999998,20.449299999999997,measured
110.dynamic-html,x64,1024,120,3,0,1.0,0.0,3,17.631,0.7333333333333334,17.512,19.2562,19.41124,measured
110.dynamic-html,x64,1024,300,3,0,1.0,0.0,3,16.30966666666667,0.6236666666666667,16.457,16.7522,16.77844,measured
110.dynamic-html,x64,1024,900,3,0,1.0,0.0,3,28.502,1.153,27.476,37.0736,37.92672,measured
110.dynamic-html,x64,2048,60,3,0,1.0,0.0,3,25.99933333333333,1.0303333333333333,26.93,31.5677,31.97994,measured
110.dynamic-html,x64,2048,120,3,0,1.0,0.0,3,46.784333333333336,2.244333333333333,52.605,60.228,60.9056,measured
110.dynamic-html,x64,2048,300,3,0,1.0,0.0,3,17.344333333333335,0.755,18.312,18.782700000000002,18.824540000000002,measured
110.dynamic-html,x64,2048,900,3,0,1.0,0.0,3,39.08766666666667,1.9456666666666667,37.372,50.6722,51.85444,measured
110.dynamic-html,x64,3008,60,3,0,1.0,0.0,3,24.08566666666667,0.9966666666666666,24.276,32.1492,32.84904,measured
110.dynamic-html,x64,3008,120,3,0,1.0,0.0,3,34.05766666666667,1.436,35.343,47.9025,49.0189,measured
110.dynamic-html,x64,3008,300,3,0,1.0,0.0,3,18.269666666666666,0.9326666666666666,18.177,20.6187,20.83574,measured
110.dynamic-html,x64,3008,900,3,0,1.0,0.0,3,45.41,1.8563333333333334,37.016,62.35099999999999,64.603,measured
120.uploader,x64,128,60,3,0,1.0,0.0,3,1339.0873333333332,1310.1036666666666,956.737,2598.5008,2744.43536,measured
120.uploader,x64,128,120,3,0,1.0,0.0,3,2567.7233333333334,2539.8896666666665,601.38,6220.7595,6720.2599,measured
120.uploader,x64,128,300,3,0,1.0,0.0,3,11152.217000000002,11122.879666666666,324.077,29587.6445,32188.8505,measured
120.uploader,x64,128,900,3,0,1.0,0.0,3,397.615,368.397,441.744,449.67929999999996,450.38466,measured
120.uploader,x64,256,60,3,0,1.0,0.0,3,476.9646666666667,448.526,293.928,827.9646,875.43452,measured
120.uploader,x64,256,120,3,2,0.3333333333333333,0.0,1,22088.682,22057.543,22088.682,22088.682,22088.682,measured
120.uploader,x64,256,300,3,0,1.0,0.0,3,2167.3053333333332,2134.852,416.824,5147.904399999999,5568.44488,measured
120.uploader,x64,256,900,3,0,1.0,0.0,3,471.9463333333333,443.15799999999996,448.103,590.033,602.649,measured
120.uploader,x64,512,60,3,1,0.6666666666666666,0.0,2,638.7325,571.2975,638.7325,767.07655,778.48491,measured
120.uploader,x64,512,120,3,0,1.0,0.0,3,562.8083333333334,540.0413333333333,488.369,740.2691,762.66022,measured
120.uploader,x64,512,300,3,0,1.0,0.0,3,343.449,319.64799999999997,341.13,351.903,352.86060000000003,measured
120.uploader,x64,512,900,3,0,1.0,0.0,3,458.622,429.56899999999996,457.377,492.5193,495.64306,measured
120.uploader,x64,1024,60,3,0,1.0,0.0,3,1026.1726666666666,1003.082,844.969,1908.5971,2003.14182,measured
120.uploader,x64,1024,120,3,0,1.0,0.0,3,683.413,657.7356666666666,678.858,708.2673,710.88146,measured
120.uploader,x64,1024,300,3,0,1.0,0.0,3,330.4736666666667,300.36766666666665,332.464,339.0061,339.58762,measured
120.uploader,x64,1024,900,3,0,1.0,0.0,3,1758.3226666666667,1729.045,580.89,3994.3217999999993,4297.7379599999995,measured
120.uploader,x64,2048,60,3,0,1.0,0.0,3,725.7296666666667,694.4346666666667,851.898,994.8729,1007.58178,measured
120.uploader,x64,2048,120,3,0,1.0,0.0,3,498.892,478.3106666666667,502.67,555.6773000000001,560.38906,measured
120.uploader,x64,2048,300,3,0,1.0,0.0,3,334.892,298.732,331.694,343.3301,344.36442,measured
120.uploader,x64,2048,900,3,0,1.0,0.0,3,477.58500000000004,442.97766666666666,470.241,490.7673,492.59186,measured
120.uploader,x64,3008,60,3,0,1.0,0.0,3,506.68433333333337,481.383,427.192,674.3185,696.2853,measured
120.uploader,x64,3008,120,3,0,1.0,0.0,3,448.29299999999995,415.752,448.781,460.0103,461.00845999999996,measured
120.uploader,x64,3008,300,3,0,1.0,0.0,3,374.9936666666667,334.9703333333334,378.407,382.4822,382.84444,measured
120.uploader,x64,3008,900,3,0,1.0,0.0,3,464.7763333333333,437.215,360.19,778.1904999999999,815.3461,measured
210.thumbnailer,x64,128,60,3,0,1.0,0.0,3,40.019666666666666,22.897000000000002,40.327,40.673500000000004,40.7043,measured
210.thumbnailer,x64,128,120,3,0,1.0,0.0,3,40.77266666666667,24.492,41.112,41.7879,41.84798,measured
210.thumbnailer,x64,128,300,3,0,1.0,0.0,3,43.311,25.018666666666665,43.065,45.6408,45.86976,measured
210.thumbnailer,x64,128,900,3,0,1.0,0.0,3,44.46033333333333,26.029,44.188,49.7725,50.2689,measured
210.thumbnailer,x64,256,60,3,0,1.0,0.0,3,43.11233333333333,26.529,44.523,46.6956,46.88872,measured
210.thumbnailer,x64,256,120,3,0,1.0,0.0,3,46.097,27.597333333333335,46.035,49.4658,49.77076,measured
210.thumbnailer,x64,256,300,3,0,1.0,0.0,3,41.80733333333333,23.364666666666665,42.744,42.7998,42.804759999999995,measured
210.thumbnailer,x64,256,900,3,0,1.0,0.0,3,43.64066666666667,25.298333333333332,42.871,45.976,46.251999999999995,measured
210.thumbnailer,x64,512,60,3,0,1.0,0.0,3,47.805,26.417333333333335,47.685,54.0768,54.64496,measured
210.thumbnailer,x64,512,120,3,0,1.0,0.0,3,47.553,28.451000000000004,52.143,52.671299999999995,52.718259999999994,measured
210.thumbnailer,x64,512,300,3,0,1.0,0.0,3,48.441,27.385,41.271,62.9349,64.86058,measured
210.thumbnailer,x64,512,900,3,0,1.0,0.0,3,39.163999999999994,22.242333333333335,37.82,41.6729,42.01538,measured
210.thumbnailer,x64,1024,60,3,0,1.0,0.0,3,39.86066666666667,22.037333333333333,39.84,40.1271,40.15262,measured
210.thumbnailer,x64,1024,120,3,0,1.0,0.0,3,38.24466666666667,22.074333333333332,37.569,39.4347,39.60054,measured
210.thumbnailer,x64,1024,300,3,0,1.0,0.0,3,41.20133333333333,23.939000000000004,39.491,45.5408,46.07856,measured
